State FIPS,County FIPS,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,017,Chambers County,5328.00,4281.00,6374.00,15.60,12.50,18.70,1983.00,1505.00,2461.00,24.60,18.70,30.50,1384.00,1035.00,1733.00,23.30,17.40,29.20,33904.00,31174.00,36634.00, , , , , , 
01,019,Cherokee County,4565.00,3598.00,5533.00,18.90,14.90,22.90,1512.00,1156.00,1868.00,29.10,22.30,36.00,1019.00,765.00,1273.00,26.60,20.00,33.30,37376.00,33948.00,40805.00, , , , , , 
01,021,Chilton County,6978.00,5562.00,8394.00,16.70,13.30,20.10,2478.00,1922.00,3035.00,24.30,18.80,29.70,1636.00,1247.00,2025.00,22.10,16.80,27.40,39663.00,35769.00,43558.00, , , , , , 
01,023,Choctaw County,3047.00,2348.00,3745.00,21.80,16.80,26.70,935.00,703.00,1167.00,29.60,22.30,37.00,655.00,485.00,825.00,27.90,20.70,35.20,31508.00,28401.00,34615.00, , , , , , 
01,025,Clarke County,5688.00,4479.00,6896.00,21.80,17.20,26.40,2075.00,1583.00,2566.00,30.90,23.50,38.20,1508.00,1136.00,1880.00,30.00,22.60,37.40,32627.00,29429.00,35825.00, , , , , , 
01,027,Clay County,2092.00,1624.00,2560.00,15.50,12.00,18.90,656.00,496.00,815.00,22.80,17.30,28.40,447.00,331.00,563.00,20.50,15.20,25.80,36009.00,32929.00,39089.00, , , , , , 
01,029,Cleburne County,2248.00,1763.00,2732.00,15.40,12.10,18.80,760.00,575.00,944.00,22.70,17.20,28.20,531.00,397.00,665.00,21.60,16.20,27.10,38918.00,36114.00,41722.00, , , , , , 
01,031,Coffee County,7559.00,6247.00,8871.00,16.50,13.60,19.30,2559.00,2005.00,3112.00,23.20,18.20,28.20,1811.00,1393.00,2229.00,22.80,17.50,28.00,36819.00,34517.00,39121.00, , , , , , 
01,033,Colbert County,8909.00,7295.00,10524.00,16.50,13.50,19.50,2843.00,2226.00,3460.00,23.90,18.70,29.10,1950.00,1502.00,2398.00,22.00,17.00,27.10,37530.00,34961.00,40099.00, , , , , , 
01,035,Conecuh County,3213.00,2519.00,3906.00,24.70,19.30,30.00,1101.00,825.00,1378.00,36.60,27.40,45.80,766.00,567.00,965.00,34.70,25.70,43.70,27555.00,24800.00,30309.00, , , , , , 
01,037,Coosa County,1627.00,1268.00,1987.00,15.10,11.80,18.50,518.00,392.00,645.00,23.20,17.50,28.90,363.00,270.00,456.00,21.30,15.90,26.80,34667.00,31489.00,37845.00, , , , , , 
01,039,Covington County,7078.00,5789.00,8367.00,19.40,15.90,23.00,2560.00,2031.00,3089.00,31.10,24.70,37.50,1792.00,1396.00,2188.00,30.50,23.70,37.20,32490.00,29581.00,35400.00, , , , , , 
01,041,Crenshaw County,2486.00,1949.00,3024.00,18.30,14.30,22.20,811.00,616.00,1005.00,25.40,19.30,31.40,563.00,422.00,704.00,24.30,18.20,30.40,33156.00,29865.00,36448.00, , , , , , 
01,043,Cullman County,11267.00,9244.00,13290.00,14.20,11.60,16.70,3502.00,2711.00,4292.00,19.30,14.90,23.60,2433.00,1845.00,3021.00,18.40,13.90,22.80,39194.00,35885.00,42504.00, , , , , , 
01,045,Dale County,7764.00,6416.00,9111.00,16.70,13.80,19.60,3069.00,2438.00,3699.00,24.10,19.10,29.00,2081.00,1608.00,2554.00,22.90,17.70,28.10,41214.00,38605.00,43822.00, , , , , , 
01,047,Dallas County,12834.00,10717.00,14951.00,30.20,25.20,35.20,4818.00,3828.00,5808.00,42.00,33.40,50.60,3262.00,2558.00,3966.00,40.40,31.70,49.10,27647.00,25236.00,30058.00, , , , , , 
01,049,DeKalb County,12357.00,10052.00,14661.00,18.40,15.00,21.80,4337.00,3396.00,5278.00,26.10,20.50,31.80,2769.00,2116.00,3422.00,23.70,18.10,29.30,35558.00,32482.00,38633.00, , , , , , 
01,051,Elmore County,8040.00,6448.00,9632.00,11.30,9.00,13.50,3085.00,2370.00,3800.00,16.20,12.50,20.00,2126.00,1597.00,2655.00,15.50,11.60,19.40,49193.00,45515.00,52871.00, , , , , , 
01,053,Escambia County,7909.00,6513.00,9305.00,22.40,18.40,26.30,2611.00,2081.00,3141.00,30.60,24.40,36.80,1776.00,1390.00,2162.00,28.90,22.60,35.20,34615.00,31520.00,37709.00, , , , , , 
01,055,Etowah County,17608.00,15244.00,19972.00,17.40,15.00,19.70,5722.00,4691.00,6752.00,24.50,20.10,29.00,3572.00,2845.00,4299.00,21.10,16.80,25.40,35420.00,33162.00,37679.00, , , , , , 
01,057,Fayette County,2982.00,2307.00,3658.00,17.20,13.30,21.10,862.00,652.00,1073.00,22.90,17.30,28.50,610.00,455.00,765.00,21.40,15.90,26.80,35957.00,32931.00,38982.00, , , , , , 
01,059,Franklin County,6040.00,4920.00,7161.00,20.10,16.40,23.90,2094.00,1639.00,2550.00,28.90,22.60,35.20,1409.00,1070.00,1748.00,27.90,21.20,34.60,30765.00,28089.00,33440.00, , , , , , 
01,061,Geneva County,4965.00,3930.00,5999.00,19.50,15.50,23.60,1668.00,1266.00,2070.00,29.90,22.70,37.10,1122.00,841.00,1403.00,27.60,20.70,34.60,33734.00,31898.00,35571.00, , , , , , 
01,063,Greene County,2844.00,2211.00,3478.00,31.30,24.30,38.20,1018.00,772.00,1263.00,43.50,33.00,54.00,705.00,527.00,883.00,40.20,30.10,50.40,25137.00,22622.00,27651.00, , , , , , 
01,065,Hale County,4061.00,3212.00,4910.00,24.00,19.00,29.00,1492.00,1143.00,1840.00,33.50,25.70,41.30,989.00,748.00,1230.00,29.50,22.30,36.70,31481.00,28520.00,34442.00, , , , , , 
01,067,Henry County,2931.00,2289.00,3572.00,17.90,13.90,21.80,1034.00,789.00,1280.00,27.60,21.00,34.10,754.00,568.00,940.00,27.60,20.80,34.40,35076.00,31787.00,38364.00, , , , , , 
01,069,Houston County,15067.00,13201.00,16933.00,15.70,13.80,17.70,5952.00,4970.00,6935.00,24.70,20.70,28.80,3769.00,3041.00,4497.00,21.90,17.70,26.20,40461.00,38309.00,42614.00, , , , , , 
01,071,Jackson County,9226.00,7699.00,10753.00,17.60,14.70,20.50,2733.00,2180.00,3286.00,23.40,18.70,28.20,1991.00,1559.00,2423.00,23.20,18.10,28.20,36178.00,33039.00,39318.00, , , , , , 
01,073,Jefferson County,97227.00,89499.00,104955.00,15.10,13.90,16.30,33738.00,29844.00,37632.00,21.60,19.10,24.10,21515.00,18400.00,24630.00,19.30,16.50,22.10,44908.00,43507.00,46310.00, , , , , , 
01,075,Lamar County,2629.00,2073.00,3185.00,18.50,14.60,22.40,757.00,570.00,944.00,25.50,19.20,31.80,516.00,382.00,650.00,23.80,17.60,30.00,32893.00,29690.00,36096.00, , , , , , 
01,077,Lauderdale County,15580.00,13542.00,17619.00,18.10,15.70,20.40,4649.00,3745.00,5553.00,25.30,20.30,30.20,3015.00,2345.00,3685.00,22.20,17.30,27.10,37981.00,35623.00,40339.00, , , , , , 
01,079,Lawrence County,5090.00,4049.00,6130.00,15.00,11.90,18.10,1671.00,1281.00,2060.00,21.60,16.60,26.70,1132.00,848.00,1416.00,19.50,14.60,24.40,39248.00,35893.00,42604.00, , , , , , 
01,081,Lee County,21846.00,19097.00,24595.00,17.30,15.10,19.50,5348.00,4313.00,6384.00,18.50,14.90,22.10,3600.00,2824.00,4376.00,17.10,13.40,20.80,39719.00,36823.00,42615.00, , , , , , 
01,083,Limestone County,8918.00,7195.00,10641.00,12.60,10.10,15.00,3006.00,2323.00,3689.00,17.30,13.40,21.20,1951.00,1481.00,2421.00,15.30,11.60,19.00,46753.00,43709.00,49797.00, , , , , , 
01,085,Lowndes County,3785.00,3055.00,4515.00,30.00,24.20,35.80,1409.00,1109.00,1709.00,43.30,34.10,52.50,923.00,707.00,1139.00,38.70,29.70,47.80,28530.00,25687.00,31373.00, , , , , , 
01,087,Macon County,5888.00,4651.00,7126.00,29.60,23.30,35.80,1792.00,1362.00,2221.00,38.00,28.90,47.20,1303.00,976.00,1630.00,37.00,27.70,46.30,27011.00,24385.00,29637.00, , , , , , 
01,089,Madison County,34347.00,30164.00,38530.00,11.30,9.90,12.60,12370.00,10477.00,14263.00,16.40,13.90,18.90,8016.00,6548.00,9484.00,14.50,11.80,17.10,52870.00,50049.00,55690.00, , , , , , 
01,091,Marengo County,4206.00,3339.00,5073.00,20.00,15.90,24.10,1526.00,1160.00,1893.00,28.10,21.30,34.80,1120.00,835.00,1405.00,27.90,20.80,35.00,32747.00,29602.00,35892.00, , , , , , 
01,093,Marion County,5639.00,4600.00,6679.00,19.70,16.10,23.30,1817.00,1435.00,2199.00,29.60,23.30,35.80,1336.00,1038.00,1634.00,30.00,23.30,36.70,32752.00,29652.00,35853.00, , , , , , 
01,095,Marshall County,16919.00,14301.00,19536.00,19.60,16.50,22.60,6729.00,5536.00,7922.00,30.30,24.90,35.70,4056.00,3265.00,4847.00,26.90,21.70,32.20,36931.00,33985.00,39877.00, , , , , , 
01,097,Mobile County,82315.00,75306.00,89324.00,20.80,19.00,22.60,32216.00,28701.00,35730.00,30.70,27.30,34.00,20751.00,17881.00,23621.00,27.40,23.60,31.20,37575.00,36132.00,39017.00, , , , , , 
01,099,Monroe County,5311.00,4295.00,6326.00,23.60,19.10,28.20,1852.00,1433.00,2271.00,32.00,24.80,39.30,1218.00,916.00,1520.00,28.10,21.10,35.00,32367.00,29565.00,35169.00, , , , , , 
01,101,Montgomery County,38724.00,34043.00,43405.00,18.10,15.90,20.30,15804.00,13430.00,18179.00,27.50,23.30,31.60,10510.00,8671.00,12349.00,25.80,21.30,30.30,41199.00,39289.00,43110.00, , , , , , 
01,103,Morgan County,16111.00,13448.00,18774.00,14.20,11.90,16.60,5606.00,4474.00,6737.00,20.50,16.30,24.60,3714.00,2894.00,4534.00,18.90,14.70,23.10,43619.00,41419.00,45820.00, , , , , , 
01,105,Perry County,3297.00,2560.00,4033.00,32.70,25.40,40.00,1334.00,1011.00,1657.00,46.40,35.10,57.60,973.00,726.00,1220.00,47.10,35.10,59.10,24132.00,21688.00,26575.00, , , , , , 
01,107,Pickens County,4309.00,3378.00,5241.00,22.20,17.40,27.00,1424.00,1075.00,1772.00,30.40,23.00,37.80,1018.00,757.00,1279.00,29.10,21.70,36.60,31497.00,28475.00,34519.00, , , , , , 
01,109,Pike County,7772.00,6502.00,9042.00,27.00,22.60,31.50,2421.00,1941.00,2901.00,35.50,28.50,42.60,1682.00,1315.00,2049.00,34.70,27.10,42.30,25817.00,24338.00,27296.00, , , , , , 
01,111,Randolph County,4542.00,3631.00,5453.00,20.90,16.70,25.10,1513.00,1165.00,1862.00,28.90,22.20,35.60,1025.00,771.00,1279.00,26.30,19.80,32.80,34352.00,31056.00,37648.00, , , , , , 
01,113,Russell County,10446.00,8790.00,12102.00,21.20,17.80,24.50,4142.00,3364.00,4920.00,32.70,26.50,38.80,2738.00,2130.00,3346.00,29.60,23.00,36.20,33546.00,31191.00,35900.00, , , , , , 
01,115,St. Clair County,8773.00,6931.00,10616.00,11.60,9.20,14.00,3173.00,2413.00,3934.00,17.10,13.00,21.20,2089.00,1577.00,2601.00,15.50,11.70,19.20,50046.00,47584.00,52509.00, , , , , , 
01,117,Shelby County,12367.00,10250.00,14484.00,6.90,5.70,8.00,4318.00,3431.00,5205.00,9.00,7.10,10.80,2835.00,2231.00,3439.00,8.30,6.50,10.10,67031.00,64408.00,69655.00, , , , , , 
01,119,Sumter County,4532.00,3531.00,5534.00,35.00,27.20,42.70,1473.00,1115.00,1831.00,46.60,35.30,57.90,1063.00,794.00,1332.00,44.50,33.20,55.80,23439.00,21057.00,25821.00, , , , , , 
01,121,Talladega County,13787.00,11843.00,15730.00,18.00,15.50,20.60,4511.00,3687.00,5335.00,24.60,20.10,29.10,3489.00,2797.00,4181.00,26.20,21.00,31.40,38644.00,35526.00,41762.00, , , , , , 
01,123,Tallapoosa County,6746.00,5524.00,7968.00,17.10,14.00,20.20,2334.00,1815.00,2853.00,25.70,20.00,31.40,1600.00,1224.00,1976.00,23.90,18.30,29.50,35801.00,32587.00,39014.00, , , , , , 
01,125,Tuscaloosa County,31208.00,27747.00,34669.00,18.60,16.50,20.70,8720.00,7094.00,10345.00,21.70,17.60,25.70,6471.00,5232.00,7710.00,22.50,18.20,26.80,41543.00,38832.00,44254.00, , , , , , 
01,127,Walker County,12953.00,10832.00,15073.00,19.10,16.00,22.30,3793.00,2984.00,4603.00,24.60,19.40,29.90,2509.00,1928.00,3090.00,22.60,17.30,27.80,35497.00,32848.00,38145.00, , , , , , 
01,129,Washington County,3200.00,2468.00,3932.00,18.70,14.40,23.00,1116.00,841.00,1391.00,26.60,20.10,33.20,791.00,588.00,994.00,24.60,18.30,30.90,35810.00,32241.00,39380.00, , , , , , 
01,131,Wilcox County,4507.00,3656.00,5357.00,35.70,29.00,42.50,1709.00,1325.00,2093.00,46.70,36.20,57.20,1255.00,960.00,1550.00,47.30,36.20,58.40,21325.00,19203.00,23446.00, , , , , , 
01,133,Winston County,3830.00,3016.00,4645.00,16.00,12.60,19.40,1362.00,1026.00,1699.00,25.80,19.40,32.20,918.00,683.00,1153.00,23.40,17.40,29.40,32986.00,30155.00,35816.00, , , , , , 
02,000,Alaska,65266.00,62165.00,68367.00,9.80,9.30,10.30,23356.00,21652.00,25060.00,13.10,12.10,14.00,13787.00,12273.00,15301.00,10.80,9.60,12.00,62854.00,61569.00,64138.00,8104.00,7332.00,8877.00,16.30,14.70,17.80
02,013,Aleutians East Borough,450.00,344.00,556.00,16.90,12.90,20.90,41.00,30.00,51.00,14.00,10.20,17.40,23.00,16.00,30.00,10.60,7.30,13.80,56111.00,52711.00,59511.00, , , , , , 
02,016,Aleutians West Census Area,487.00,375.00,599.00,10.20,7.90,12.60,54.00,40.00,69.00,9.20,6.80,11.70,33.00,24.00,42.00,7.60,5.50,9.70,61536.00,55876.00,67195.00, , , , , , 
02,020,Anchorage Borough,21634.00,18275.00,24994.00,8.00,6.70,9.20,7664.00,6148.00,9180.00,10.50,8.40,12.60,4466.00,3417.00,5515.00,8.70,6.60,10.70,67856.00,64882.00,70830.00, , , , , , 
02,050,Bethel Census Area,3609.00,2966.00,4251.00,21.40,17.60,25.20,1739.00,1380.00,2097.00,28.60,22.70,34.40,1092.00,829.00,1355.00,25.50,19.30,31.60,39519.00,35926.00,43113.00, , , , , , 
02,060,Bristol Bay Borough,85.00,65.00,106.00,8.50,6.50,10.60,20.00,15.00,25.00,8.10,6.10,10.20,13.00,9.00,17.00,6.70,4.60,8.80,62945.00,56520.00,69370.00, , , , , , 
02,068,Denali Borough,117.00,89.00,146.00,6.40,4.90,8.00,24.00,18.00,31.00,6.80,5.10,8.70,15.00,11.00,19.00,5.80,4.20,7.30,64565.00,58483.00,70647.00, , , , , , 
02,070,Dillingham Census Area,1064.00,832.00,1296.00,21.50,16.80,26.20,447.00,338.00,557.00,29.60,22.40,36.80,282.00,207.00,357.00,25.10,18.40,31.80,49319.00,45061.00,53576.00, , , , , , 
02,090,Fairbanks North Star Borough,7257.00,5899.00,8616.00,7.80,6.30,9.20,2709.00,2050.00,3367.00,10.20,7.70,12.60,1576.00,1145.00,2007.00,8.50,6.20,10.80,62155.00,58168.00,66142.00, , , , , , 
02,100,Haines Borough,261.00,198.00,323.00,11.40,8.70,14.10,72.00,53.00,91.00,17.10,12.60,21.70,46.00,33.00,59.00,14.30,10.30,18.40,47005.00,42280.00,51731.00, , , , , , 
02,110,Juneau Borough,2151.00,1669.00,2633.00,7.10,5.50,8.70,597.00,446.00,748.00,8.90,6.60,11.10,328.00,237.00,419.00,6.60,4.80,8.40,75302.00,70009.00,80595.00, , , , , , 
02,122,Kenai Peninsula Borough,5348.00,4369.00,6326.00,10.30,8.40,12.20,1797.00,1378.00,2216.00,14.30,10.90,17.60,1024.00,757.00,1291.00,10.90,8.10,13.80,56648.00,52497.00,60798.00, , , , , , 
02,130,Ketchikan Gateway Borough,1138.00,876.00,1401.00,8.80,6.70,10.80,362.00,268.00,457.00,11.80,8.70,14.90,216.00,155.00,277.00,9.70,6.90,12.40,57202.00,52052.00,62353.00, , , , , , 
02,150,Kodiak Island Borough,964.00,735.00,1193.00,7.50,5.70,9.30,327.00,242.00,411.00,9.00,6.70,11.30,190.00,137.00,243.00,7.20,5.20,9.20,59010.00,53360.00,64661.00, , , , , , 
02,164,Lake and Peninsula Borough,290.00,221.00,360.00,18.90,14.40,23.50,116.00,86.00,147.00,25.10,18.60,31.70,74.00,53.00,95.00,21.40,15.40,27.50,40574.00,36475.00,44673.00, , , , , , 
02,170,Matanuska-Susitna Borough,7731.00,6366.00,9096.00,9.50,7.80,11.20,2484.00,1949.00,3019.00,11.60,9.10,14.10,1349.00,1020.00,1678.00,8.80,6.60,10.90,64969.00,61919.00,68019.00, , , , , , 
02,180,Nome Census Area,2117.00,1695.00,2539.00,23.10,18.50,27.70,867.00,671.00,1063.00,28.50,22.10,35.00,532.00,397.00,667.00,25.50,19.00,31.90,46942.00,42939.00,50946.00, , , , , , 
02,185,North Slope Borough,896.00,693.00,1099.00,13.80,10.70,16.90,356.00,266.00,446.00,16.50,12.30,20.70,198.00,143.00,253.00,13.50,9.70,17.20,68589.00,61918.00,75261.00, , , , , , 
02,188,Northwest Arctic Borough,1572.00,1232.00,1912.00,21.20,16.60,25.80,665.00,502.00,828.00,25.30,19.10,31.60,416.00,306.00,526.00,22.50,16.60,28.50,50168.00,45807.00,54528.00, , , , , , 
02,201,Prince of Wales-Outer Ketchikan Census Area,987.00,767.00,1206.00,17.90,13.90,21.80,294.00,222.00,367.00,23.80,18.00,29.70,175.00,128.00,222.00,18.00,13.20,22.90,42798.00,39540.00,46056.00, , , , , , 
02,220,Sitka Borough,730.00,560.00,900.00,8.40,6.40,10.40,205.00,152.00,258.00,10.50,7.80,13.20,117.00,84.00,150.00,8.20,5.90,10.50,58958.00,53094.00,64822.00, , , , , , 
02,232,Skagway-Hoonah-Angoon Census Area,423.00,325.00,521.00,13.90,10.60,17.10,112.00,84.00,141.00,19.20,14.40,24.20,72.00,52.00,92.00,16.30,11.70,20.80,44506.00,40577.00,48435.00, , , , , , 
02,240,Southeast Fairbanks Census Area,914.00,708.00,1120.00,13.50,10.50,16.60,379.00,285.00,472.00,19.60,14.80,24.50,240.00,175.00,305.00,17.50,12.80,22.30,52330.00,47245.00,57415.00, , , , , , 
02,261,Valdez-Cordova Census Area,897.00,699.00,1095.00,9.50,7.40,11.60,220.00,166.00,274.00,9.90,7.50,12.40,135.00,98.00,172.00,8.00,5.80,10.20,55428.00,50393.00,60462.00, , , , , , 
02,270,Wade Hampton Census Area,2073.00,1648.00,2497.00,27.30,21.70,32.80,1130.00,870.00,1391.00,36.30,27.90,44.70,747.00,559.00,935.00,35.30,26.40,44.20,30335.00,27346.00,33324.00, , , , , , 
02,280,Wrangell-Petersburg Census Area,592.00,449.00,734.00,9.90,7.50,12.30,168.00,124.00,212.00,12.70,9.40,16.10,102.00,74.00,130.00,9.80,7.10,12.50,53048.00,47744.00,58352.00, , , , , , 
02,282,Yakutat Borough,102.00,77.00,126.00,15.10,11.40,18.60,23.00,16.00,29.00,16.20,11.30,20.40,15.00,11.00,19.00,13.90,10.20,17.60,49330.00,44278.00,54381.00, , , , , , 
02,290,Yukon-Koyukuk Census Area,1377.00,1089.00,1666.00,23.70,18.70,28.70,483.00,366.00,599.00,31.40,23.80,38.90,311.00,228.00,394.00,26.60,19.50,33.70,32097.00,29215.00,34979.00, , , , , , 
04,000,Arizona,876120.00,855871.00,896369.00,14.10,13.70,14.40,327941.00,316503.00,339380.00,20.00,19.30,20.70,209683.00,199940.00,219426.00,18.40,17.50,19.20,49923.00,49433.00,50414.00,109652.00,103335.00,115970.00,22.40,21.10,23.70
04,001,Apache County,22962.00,20451.00,25472.00,33.40,29.70,37.00,8676.00,7309.00,10044.00,40.20,33.90,46.60,6076.00,5028.00,7124.00,38.90,32.20,45.60,29976.00,27569.00,32383.00, , , , , , 
04,003,Cochise County,19910.00,16700.00,23119.00,16.30,13.70,18.90,7963.00,6477.00,9449.00,26.00,21.10,30.90,5527.00,4437.00,6617.00,25.60,20.50,30.60,42995.00,40227.00,45763.00, , , , , , 
04,005,Coconino County,20087.00,16939.00,23234.00,16.20,13.60,18.70,6293.00,5070.00,7517.00,19.70,15.90,23.50,4313.00,3432.00,5194.00,19.30,15.30,23.20,48549.00,45840.00,51259.00, , , , , , 
04,007,Gila County,9256.00,7594.00,10918.00,18.20,14.90,21.40,3295.00,2572.00,4019.00,28.10,22.00,34.30,2178.00,1667.00,2689.00,26.20,20.10,32.40,34761.00,32433.00,37089.00, , , , , , 
04,009,Graham County,7038.00,5804.00,8272.00,22.40,18.50,26.30,2347.00,1904.00,2791.00,26.30,21.40,31.30,1689.00,1334.00,2044.00,25.70,20.30,31.10,38798.00,35370.00,42226.00, , , , , , 
04,011,Greenlee County,862.00,656.00,1068.00,11.20,8.50,13.90,288.00,215.00,361.00,13.60,10.20,17.10,184.00,136.00,232.00,11.60,8.60,14.70,50195.00,45302.00,55088.00, , , , , , 
04,012,La Paz County,4720.00,3751.00,5689.00,23.80,18.90,28.60,1328.00,1029.00,1626.00,36.30,28.20,44.50,890.00,677.00,1103.00,34.90,26.50,43.30,29912.00,27699.00,32126.00, , , , , , 
04,013,Maricopa County,495505.00,468370.00,522641.00,12.90,12.20,13.60,190237.00,176152.00,204322.00,18.20,16.90,19.60,118184.00,107971.00,128397.00,16.40,15.00,17.80,54733.00,53857.00,55609.00, , , , , , 
04,015,Mohave County,26090.00,21931.00,30249.00,13.50,11.40,15.70,10173.00,8120.00,12225.00,24.00,19.20,28.90,6504.00,5081.00,7927.00,21.70,17.00,26.50,39669.00,37863.00,41474.00, , , , , , 
04,017,Navajo County,25481.00,21867.00,29095.00,23.40,20.10,26.70,10446.00,8443.00,12448.00,31.90,25.70,38.00,7267.00,5768.00,8766.00,30.40,24.10,36.70,38871.00,36902.00,40839.00, , , , , , 
04,019,Pima County,140880.00,129650.00,152109.00,14.90,13.70,16.10,47738.00,42508.00,52969.00,21.10,18.80,23.50,31280.00,27357.00,35203.00,19.70,17.20,22.10,43721.00,42304.00,45139.00, , , , , , 
04,021,Pinal County,35512.00,30358.00,40666.00,12.50,10.70,14.30,12794.00,10364.00,15223.00,17.00,13.80,20.20,8430.00,6705.00,10155.00,16.10,12.80,19.40,49906.00,48219.00,51593.00, , , , , , 
04,023,Santa Cruz County,8578.00,6853.00,10303.00,20.10,16.10,24.20,3921.00,3103.00,4739.00,29.80,23.60,36.00,3045.00,2386.00,3704.00,33.30,26.10,40.50,35661.00,32447.00,38875.00, , , , , , 
04,025,Yavapai County,26335.00,22434.00,30237.00,12.60,10.70,14.50,8163.00,6508.00,9818.00,19.80,15.80,23.80,4911.00,3879.00,5943.00,16.60,13.10,20.00,44268.00,42027.00,46510.00, , , , , , 
04,027,Yuma County,32904.00,28257.00,37551.00,17.80,15.30,20.30,14280.00,11759.00,16802.00,26.40,21.80,31.10,9205.00,7530.00,10880.00,24.70,20.20,29.20,39781.00,37408.00,42153.00, , , , , , 
05,000,Arkansas,483510.00,473442.00,493579.00,17.60,17.20,17.90,173939.00,168262.00,179616.00,25.30,24.40,26.10,113370.00,108283.00,118457.00,23.20,22.10,24.20,38239.00,37548.00,38929.00,56804.00,54263.00,59344.00,29.10,27.80,30.40
05,001,Arkansas County,3402.00,2677.00,4126.00,17.90,14.10,21.70,1192.00,904.00,1480.00,26.50,20.10,33.00,764.00,566.00,962.00,23.20,17.20,29.20,37344.00,33905.00,40784.00, , , , , , 
05,003,Ashley County,4562.00,3718.00,5407.00,20.70,16.90,24.60,1603.00,1254.00,1951.00,30.10,23.50,36.60,1154.00,884.00,1424.00,29.10,22.30,35.90,35263.00,32064.00,38462.00, , , , , , 
05,005,Baxter County,5129.00,4115.00,6143.00,12.40,10.00,14.90,1713.00,1314.00,2112.00,21.90,16.80,27.00,1140.00,856.00,1424.00,20.00,15.00,25.00,35845.00,33726.00,37965.00, , , , , , 
